# 2015 개정 교육과정 중학교 국어 교과서 수록 문학작품
# 출처: http://hutobol.cafe24.com/wiki/index.php/2015개정_국어과_교육과정_교과서_수록_문학작품/중학교_국어(표)
# 받은 날: 2026-09-22 · 학교별 교과서는 CLAUDE.md 를 볼 것
# 유효 범위(2022 개정 연차 적용): 중1 ~2025 · 중2 ~2026 · 중3 ~2027. 그 뒤 시험지는 새 교과서다
출판사	작품	지은이	갈래	출전	쓰임
비상(김진수 외)	베토벤 바이러스	홍진아, 홍자람	시나리오	드라마『베토벤 바이러스 1』	학습활동 제재
비상(김진수 외)	보잘것없는 나무들이 아름다운 이유	우종영	현대수필	『나는 나무처럼 살고 싶다』(중앙M&B)	학습활동 제재
비상(김진수 외)	봄	이성부	현대시	《우리들의 양식》(민음사)	바탕글
비상(김진수 외)	봄 길	정호승	현대시	『사랑하다가 죽어 버려라』(창비)	바탕글
비상(김진수 외)	봄은 고양이로다	이장희	현대시	『금성』3호	학습활동 제재
비상(김진수 외)	비와 당신	방준석	현대시(가요)	『라디오스타 OST』	학습활동 제재
비상(김진수 외)	빗방울	오규원	현대시	《두두》(문학과지성사)	학습활동 제재
비상(김진수 외)	빨간 호리병박	차오원쉬엔	현대소설	『바다소』	바탕글
비상(김진수 외)	빨간 호리병박	차오원쉬엔	현대소설	『바다소』	학습활동 제재
비상(김진수 외)	사계절의 땅 원천강 오늘이	저자 미상	고전소설	발표지 미상	바탕글
비상(김진수 외)	소를 줍다	전성태	현대소설	『국경을 넘는 일』(창비)	학습활동 제재
비상(김진수 외)	수고했어, 오늘도	김윤주 작사	현대시(가요)	옥상달빛 1집『28』	추가 읽기 자료
비상(김진수 외)	수라	백석	현대시	《사슴》(선광인쇄주식회사)	바탕글
비상(김진수 외)	스피릿 핑거스 2화	한경찰	만화	《스피릿 핑거스 2화》(네이버웹툰)	학습활동 제재
비상(김진수 외)	아끼다가 똥 될지라도	최은숙	현대수필	『미안, 네가 천사인 줄 몰랐어』(샨티)	학습활동 제재
비상(김진수 외)	얼굴 반찬	공광규	현대시	《말똥 한 덩이》(실천문학사)	학습활동 제재
비상(김진수 외)	엄마의 눈물	장영희	현대수필	『내 생애 단 한번』(샘텀사)	학습활동 제재
비상(김진수 외)	오아시스 세탁소 습격 사건	김정숙	희곡	연극《오아시스세탁소 습격사건》	바탕글
비상(김진수 외)	오우가	윤선도	고전시가(시조)	『고산유고 孤山遺稿』 제6권 하편 별집	학습활동 제재
비상(김진수 외)	외계인을 위하여	김미희	현대시	《외계인에게 로션을 발라주다》(휴머니스트)	추가 읽기 자료
비상(김진수 외)	우리 동네 예술가 두 사람	양귀자	현대소설	『길모퉁이에서 만난 사람』	추가 읽기 자료
비상(김진수 외)	우리가 눈발이라면	안도현	현대시	『그대에게 가고 싶다』((주)도서출판 푸른숲)	바탕글
비상(김진수 외)	운다고 달라지는 일은 아무것도 없겠지만	박준	현대수필	《운다고 달라지는 일은 아무것도 없겠지만》(난다)	추가 읽기 자료
비상(김진수 외)	유성	오세영	현대시	『적멸의 불빛』((주)문학사상사)	바탕글
비상(김진수 외)	이몽룡아	이충우	현대시(가요)	『패스트 트랙』	학습활동 제재
비상(김진수 외)	이상한 선생님	채만식	현대소설	『이상한 선생님』(사계절)	바탕글
비상(김진수 외)	일가	공선옥	현대소설	『나는 죽지 않겠다』(창비)	바탕글
비상(김진수 외)	자전거 도둑	박완서	현대소설	『달걀은 달걀로 갚으렴』(샘텀사)	바탕글
비상(김진수 외)	작품명 미상	저자 미상	기타	『중학교 국어 2-1』(교육 과학 기술부)	학습활동 제재
비상(김진수 외)	전쟁의 잔혹함과 인정의 아름다움	박동규	현대수필	《내 생애 가장 따뜻한 날들》(대산출판사)	학습활동 제재
비상(김진수 외)	제망매가	월명사	고전시가	발표지 미상	바탕글
비상(김진수 외)	춘향전	김지혜	만화	『어화둥둥 내 사랑아 춘향전』(숨비소리)	바탕글
비상(김진수 외)	춘향전	저자 미상	고전소설	발표지미상	바탕글
비상(김진수 외)	코르니유 영감의 비밀	알퐁스 도데	현대소설	《레벤망》	학습활동 제재
비상(김진수 외)	풀잎에도 상처가 있다	정호승	현대시	『풀잎에도 상처가 있다』(열림원)	학습활동 제재
비상(김진수 외)	프린들 주세요	앤드루 클레먼츠	현대소설	『Frindle』(Aladdin)	학습활동 제재
비상(김진수 외)	플라스틱은 전혀 분해되지 않았다	박경화	기타	《지구인의 도시 사용법》(휴)	바탕글
비상(김진수 외)	항아리 냉장고'를 아시나요?	이원춘, 전윤영, 김경희	기타	《상식 속, 상식 밖 사이언스》(북&월드)	학습활동 제재
비상(김진수 외)	형	노라조	현대시(가요)	《환골탈태》㈜지니뮤직, stone music entertainment	추가 읽기 자료
비상(김진수 외)	홍길동전	허균	고전소설	『홍길동전』	학습활동 제재
비상(김진수 외)	화가의 시간	박정원	현대비평	《그림 탐닉》(소라주)	학습활동 제재
비상(김진수 외)	흥부전	작가 미상	고전소설	발표지 미상	학습활동 제재
수록교과서	작품명	저자	갈래	발표지	분류
지학사(이삼형 외)	‘나’를 외친 화가들	이주헌	현대비평	『명화는 이렇게 속삭인다』(예담)	학습 활동 제재
지학사(이삼형 외)	「시인 할머니를 만나다」 면담 글	여성중앙	기타	《여성중앙》	바탕글
지학사(이삼형 외)	「시인 할머니를 만나다」 편지글	김초혜	현대수필	『행복이』(사공미디어)	바탕글
지학사(이삼형 외)	걷기 운동의 효과와 방법	남상남	현대수필	『걷기 운동 30분』(넥서스)	바탕글
지학사(이삼형 외)	괜찮아	장영희	현대수필	『견디지 않아도 괜찮아』(샘터)	바탕글
지학사(이삼형 외)	군밤 타령	작자 미상	고전시가(민요)	발표지 미상	학습 활동 제재
지학사(이삼형 외)	귀뚜라미에게 받은 짧은 편지	정호승	현대시	『수선화에게』(비채)	학습활동 제재
지학사(이삼형 외)	그 시절 우리들의 집	공선옥	현대수필	『자운영 꽃밭에서 나는 울었네』(창비)	바탕글
지학사(이삼형 외)	그래 우린 친구야	전국교사연극모임	현대희곡	『우리 '연극'해요②』(작은숲)	학습활동 제재
지학사(이삼형 외)	까마귀 검다 하고	이직	고전시가(시조)	『정본 시조 대전』(일조각)	추가 읽기 자료
지학사(이삼형 외)	까마귀 싸우는 골에	정몽주의 어머니	고전시가(시조)	『정본 시조 대전』(일조각)	추가 읽기 자료
지학사(이삼형 외)	꽃'인가 '곳'인가	이익섭	기타	『우리말 산책』(신구문화사)	추가 읽기 자료
지학사(이삼형 외)	나를 멈추게 하는 것들 - 속도에 대한 명상 13	반칠환	현대시	『뜰채로 죽은 별을 건지는 사랑』(시와시학사)	바탕글
지학사(이삼형 외)	나의 독서 첫사랑	박인기	현대수필	『나의 독서 첫사랑』	학습 활동 제재
지학사(이삼형 외)	내가 그린 히말라야시다 그림	성석제	현대소설	『라일락 피면』(창비)	바탕글
지학사(이삼형 외)	내가 만일	안치환	현대시(가요)	『4』(오감 엔터테인먼트)	학습활동 제재
지학사(이삼형 외)	느티나무	김경수	현대시	발표지 미상	바탕글
지학사(이삼형 외)	닭을 타고 가면 되지	서거정	고전산문	『고금소총』(정음사)	추가 읽기 자료
지학사(이삼형 외)	도깨비	김은숙	시나리오	『도깨비』(tvN)	학습활동 제재
지학사(이삼형 외)	동물의 권리에 관하여	이원영	현대수필	『동물을 사랑하면 철학자가 된다』(문학과 지성사)	바탕글
지학사(이삼형 외)	동백꽃	김유정	현대소설	《조광(朝光)》	학습활동 제재
지학사(이삼형 외)	동주	이준익	시나리오	『동주』(루스 이 소니도스)	학습활동 제재
지학사(이삼형 외)	두근두근 내 인생	김애란	현대수필	『두근두근 내 인생』(창비)	학습활동 제재
지학사(이삼형 외)	들판에서	이강백	현대희곡	『이강백 희곡 전집6』(평민사)	바탕글
지학사(이삼형 외)	디지털 치매, 걱정할 일 아니다	이준기	현대수필	『지식의 이중주』(해나무)	바탕글
지학사(이삼형 외)	따뜻한 조약돌	이미애	현대수필	『TV동화 행복한 세상1』(KBS1)	추가 읽기 자료
지학사(이삼형 외)	딸을 위한 시	마종하	현대시	『활주로가 있는 밤』(문학동네)	학습활동 제재
지학사(이삼형 외)	랄랄라	소녀시대, 윤상	현대시(가요)	『song book』(이레엔터테인먼트)	학습 활동 제재
지학사(이삼형 외)	마당을 나온 암탉	황선미	현대소설	『마당을 나온 암탉』(사계절)	바탕글
지학사(이삼형 외)	맛있는 말들	정주리	기타	『생각하는 국어』(도솔)	학습활동 제재
지학사(이삼형 외)	메밀꽃 필 무렵	이효석	현대소설	《조광(朝光)》	학습 활동 제재
지학사(이삼형 외)	멧새 소리	백석	현대시	『멧새 소리』	바탕글
지학사(이삼형 외)	명태의 귀환	과학동아	기타	《과학동아》	바탕글
지학사(이삼형 외)	모두를 위한 디자인	김신	현대수필	『디자인의 힘』(한국디자인진흥원)	바탕글
지학사(이삼형 외)	묏버들 가려 꺾어	홍랑	고전시가(시조)	『오씨장전사본(吳氏藏傳寫本)』	학습활동 제재
지학사(이삼형 외)	묵화	김종삼	현대시	『십이음계』	바탕글
지학사(이삼형 외)	미니 시리즈	오은	현대시	『호텔 타셀의 돼지들』(민음사)	추가 읽기 자료
지학사(이삼형 외)	미생	정윤정	시나리오	『미생』(tvN)	학습활동 제재
지학사(이삼형 외)	바래	데이식스	현대시(가요)	『DAYDREAM』(JYP 엔터테인먼트)	학습활동 제재
지학사(이삼형 외)	반올림	홍자람	현대희곡	『반올림』(KBS2)	학습활동 제재
지학사(이삼형 외)	베토벤 바이러스	홍진아, 홍자람	시나리오	『베토벤 바이러스』(MBC)	추가읽기 자료
지학사(이삼형 외)	벽화 마을의 명암	국민일보	기타	《국민일보》	학습활동 제재
지학사(이삼형 외)	별 - 어느 프로방스 양치기의 이야기	알퐁스 도데	현대소설	『별 : 프로방스의 한 양치기 이야기』	바탕글
지학사(이삼형 외)	불나방과 하루살이	김소진	현대소설	『달팽이 사랑』(솔출판사)	바탕글
지학사(이삼형 외)	사라져 가는 북극곰	남종영	기타	『지구가 뿔났다』(꿈결)	학습활동 제재
지학사(이삼형 외)	산악인 엄홍길의 서재	엄홍길	기타	『지식인의 서재』(네이버TV)	학습활동 제재
지학사(이삼형 외)	상록수	양희은	현대시(가요)	『거치른 벌판에 푸르른 솔잎처럼』	활동학습 제재
지학사(이삼형 외)	생명의 그물을 함부로 끊지 말아요	최재천	기타(주장문)	『생명, 알면 사랑하게 되지요』(더큰아이)	바탕글
지학사(이삼형 외)	서시	윤동주	현대시	『하늘과 바람과 별과 시』(정음사)	바탕글
지학사(이삼형 외)	성북동 비둘기	김광섭	현대시	『성북동 비둘기』(범우사)	바탕글
지학사(이삼형 외)	세금, 얼마나 알고 있나요	조준현	기타	《독서평설》	바탕글
지학사(이삼형 외)	세상에서 가장 따뜻했던 저녁	복효근	현대시	『운동장 편지』(창비교육)	바탕글
지학사(이삼형 외)	세상의 모든 어버이께	세번 스즈키	기타	『세상의 모든 어버이께』(국제연합환경개발회의)	학습활동 제재
지학사(이삼형 외)	소나기	황순원	현대소설	《신문학(新文學)》	바탕글
지학사(이삼형 외)	솔직함이 영혼을 울리는 감동을 만든다	조수미	기타	《경향신문》	학습활동 제재
지학사(이삼형 외)	수난이대	하근찬	현대소설	《한국일보》	바탕글
지학사(이삼형 외)	수박끼리	이응인	현대시	『솔직히 나는 흔들리고 있다』(나라말)	학습활동 제재
지학사(이삼형 외)	시 읽기의 네 갈래 길 - 백석의『멧새 소리』	정끝별	현대비평	『시심전심』(문학동네)	바탕글
지학사(이삼형 외)	시작하기 좋은 날	플로우식	현대시(가요)	『글동무 프로젝트』(제일기획)	학습 활동 제재
지학사(이삼형 외)	신과 함께	주호민	만화	『신과 함께』(네이버 웹툰)	학습 활동 제재
지학사(이삼형 외)	신문 기사 자료 글	여성 신문	기타	《여성신문》	추가 읽기 자료
지학사(이삼형 외)	신호등	김재훈	현대시(가요)	『신호등』(김재훈)	학습 활동 제재
지학사(이삼형 외)	심청전	작자 미상	고전소설	발표지 미상	바탕글
지학사(이삼형 외)	아들과 함께 걷는 길	이순원	현대소설	『아들과 함께 걷는 길』(실천문화사)	학습활동 제재
지학사(이삼형 외)	양반전	박지원	고전소설	『방경각외전』	바탕글
지학사(이삼형 외)	양화대교	자이언티	현대시(가요)	『양화대교』(로엔 엔터테인먼트)	학습활동 제재
지학사(이삼형 외)	어린 왕자	생텍쥐페리	고전소설	『어린왕자』(갈리미르)	추가 읽기 자료
지학사(이삼형 외)	열두 살에 나라를 세우다	일연	기타	『김원중 교수의 청소년을 위한 삼국유사』(민음인)	바탕글
지학사(이삼형 외)	열보다 큰 아홉	이문구	현대수필	『끝장이 없는 책』(랜덤하우스)	바탕글
지학사(이삼형 외)	완득이	이한(김려령 원작)	시나리오	『완득이』(유비유 필름)	학습활동 제재
지학사(이삼형 외)	외과의사 봉달희	이정선	시나리오	『외과의사 봉달희』(SBS)	학습활동 제재
지학사(이삼형 외)	요즘 너 말야	제이레빗	현대시(가요)	『It's Spring』(미러볼뮤직)	추가 읽기 자료
지학사(이삼형 외)	우당탕탕, 할머니 귀가 커졌어요	엘리자베트 슈티메르트	현대소설	『Kinder, Krach und große Ohren』(Gerstenberg)	학습활동 제재
지학사(이삼형 외)	우린 열대어입니다	김상윤	기타	『세상을 바꾸는 시간, 15분』(CBS)	추가 읽기 자료
지학사(이삼형 외)	유럽은 왜 빵빵 할까?	조지욱	현대수필	『유럽은 왜 빵빵 할까?』(나무를 심는 사람들)	학습 활동 제재
지학사(이삼형 외)	은행 문은 왜 안쪽으로 열릴까	이재인	기타(설명문)	『건축 속 재미있는 과학 이야기』(시공사)	바탕글
지학사(이삼형 외)	응답하라 1988	이우정	시나리오	『응답하라 1988』(tvN)	학습활동 제재
지학사(이삼형 외)	이명헌의 별 헤는 밤	이명헌	기타(논문)	『이명헌의 별 헤는 밤』(동아시아)	학습 활동 제재
지학사(이삼형 외)	인쇄 중에도 문장 고쳐 쓴 발자크	고두현	기타	《한국경제》	학습활동 제재
지학사(이삼형 외)	잊지 못할 윤동주의 일들	정병욱	기타(논문)	『윤동주』(서강대학교 출판부)	학습활동 제재
지학사(이삼형 외)	자연이 하는 말을 받아쓰다	김용택	기타(강연문)	『세상을 바꾸는 시간, 15분』(CBS)	바탕글
지학사(이삼형 외)	자장가	작자미상	전래동요	발표지 미상	학습활동 제재
지학사(이삼형 외)	자장면 / 짜장면	국립국어원	기타	《새국어생활》	추가 읽기 자료
지학사(이삼형 외)	장독대, 끝내 지켜 내던 가문의 상징	이호준	현대수필	『사라져가는 것들 잊혀져가는 것들』(다할미디어)	학습 활동 제재
지학사(이삼형 외)	정보를 담은 그림, 픽토그램	함영훈	기타	『좋아 보이는 것들의 비밀, 픽토그램』(길벗)	바탕글
지학사(이삼형 외)	정보화 시대와 한글의 우수성	최경봉 외	기타	『한글에 대해 알아야 할 모든 것』(책과함께)	학습활동 제재
지학사(이삼형 외)	조침문	유씨 부인	고전수필	발표지 미상	학습활동 제재
지학사(이삼형 외)	좋은 날	아이유	현대시(가요)	『Real』(로엔 엔터테인먼트)	추가 읽기 자료
지학사(이삼형 외)	지리 선생님과 함께하는 우리나라 도시 여행	전국지리교사모임	기타	『지리쌤과 함께하는 우리나라 도시 여행』(폭스코너)	학습활동 제재
지학사(이삼형 외)	직립 보행	법정	현대수필	『서 있는 사람들』(셈터)	바탕글
지학사(이삼형 외)	진달래꽃	김소월	현대시	『진달래꽃』(매문사)	바탕글
지학사(이삼형 외)	책상은 책상이다	페터 빅셀	현대소설	『kindergeschichten』(Suhrkamp)	학습활동 제재
지학사(이삼형 외)	천국의 아이들	박흥식	시나리오	『천국의 아이들』(인벤트스톤)	바탕글
지학사(이삼형 외)	천만리 머나먼 길에	왕방연	고전시가	발표지 미상	바탕글
지학사(이삼형 외)	초코맨의 사회	황정은	현대소설	『일곱시 삼십이분 코끼리 열차』(문학동네)	학습 활동 제재
지학사(이삼형 외)	킹스 스피치	톰 후퍼	시나리오	『The King's Speech』(영국 영화 진흥위원회)	학습 활동 제재
지학사(이삼형 외)	토론, 논술, 면접이 강해지는 반찬	유레카 편집부	현대수필	『토론,논수,면접이 강해지는 반찬』(유레카 엠엔비)	바탕글
지학사(이삼형 외)	토지	박경리	현대소설	『토지』(현대문학)	학습활동 제재
지학사(이삼형 외)	포근한 봄	오규원	현대시	『나무 속의 자동차』(민음사)	바탕글
지학사(이삼형 외)	포기하고 싶을 때 딱 한 걸음만 더 나아가라	이정현	기타(논설문)	『심리학, 열일곱 살을 부탁해』(걷는나무)	바탕글
지학사(이삼형 외)	프린들 주세요	앤드루 클레먼츠	현대소설	『Frindle』(Aladdin)	학습활동 제재
지학사(이삼형 외)	피노키오	혜은이	현대시(가요)	『혜은이 연가』(한국음반)	학습활동 제재
지학사(이삼형 외)	하늘은 맑건만	현덕	현대소설	《소년》	바탕글
지학사(이삼형 외)	할머니를 따라간 메주	오승희	현대소설	『할머니를 따라간 메주』(창비)	학습활동 제재
지학사(이삼형 외)	홍길동전	허균	고전소설	발표지 미상	바탕글
지학사(이삼형 외)	흐르는 강물처럼	리차드 프리덴버그	시나리오	『A River Runs Through It』(Columbia Pictures)	학습활동 제재
지학사(이삼형 외)	흑설공주	이경혜	현대소설	『어린이를 위한 흑설 공주 이야기』(뜨인돌어린이)	바탕글
창비(이도영 외)	개는 어떻게 말하는가	스탠리 코렌	현대수필	『개는 어떻게 말하는가』(보누스)	학습활동 제재
창비(이도영 외)	걷기왕	백승화	시나리오	인디스토리	학습활동 제재
창비(이도영 외)	결코 보낼 수 없는 사랑	저자미상	현대비평	발표지미상	학습활동 제재
창비(이도영 외)	그래서 이런 음식이 생겼대요	우리누리	기타	『그래서 이런 음식이 생겼대요』(길벗스쿨)	바탕글
창비(이도영 외)	글쓰기는 자신감이 절반	강원국	현대수필	『강원국의 글쓰기』(메디치)	추가 읽기 자료
창비(이도영 외)	글쓰기는 재능의 문제일까요?	김주환	현대수필	『청소년 거침없이 글쓰기: 전략』(우리학교)	추가 읽기 자료
창비(이도영 외)	기억을 되살리는 붙임 쪽지	안상헌	현대수필	『생산적 책 읽기 두 번째 이야기』(북포스)	추가 읽기 자료
창비(이도영 외)	길	김애란	현대시	『난 학교 밖 아이』(창비교육)	추가 읽기 자료
창비(이도영 외)	꺼삐딴 리	전광용	현대소설	『사상계』	바탕글
창비(이도영 외)	나 이거 참!	신학철(학생 글)	현대수필	발표지미상	바탕글
창비(이도영 외)	나는 지금 꽃이다	이장근	현대시	『나는 지금 꽃이다』(푸른책들)	바탕글
창비(이도영 외)	나이에 관한 고찰	이금이	현대소설	『청춘기담』(사계절)	학습활동 제재
창비(이도영 외)	남북한 언어의 차이와 그 극복 방안	권재일	기타	『남북 언어의 어휘 단일화』	바탕글
창비(이도영 외)	내가 경제 돌림	배진수	만화	『하루 세 컷』	추가 읽기 자료
창비(이도영 외)	네 말이 옳다, 네 말도 옳다	김한룡	기타	『황희』(상서각)	추가 읽기 자료
창비(이도영 외)	노래를 만들고 부르는 사람	윤덕원	현대수필	국립어린이청소년도서관 누리집	학습활동 제재
창비(이도영 외)	녹취록 정리는 괴로워!	임지은(학생 글)	현대수필	발표지미상	추가 읽기 자료
창비(이도영 외)	논리적으로 반박하며 토론할 수 있어요	저자미상	기타	발표지미상	바탕글
창비(이도영 외)	눈 앞에 펼쳐지는 세상, 증강 현실	깨끗한 미디어를 위한 교사 운동(옥성일, 강정훈, 김병련 선생님)	기타	『청소년을 위한 미디어 여행』(한나래)	추가 읽기 자료
창비(이도영 외)	동백꽃	김유정	현대소설	《조광(朝光)》	학습활동 제재
창비(이도영 외)	두근두근 내 인생	김애란	현대소설	『두근두근 내 인생』(창비)	바탕글
창비(이도영 외)	두근두근 내 인생	이재용(김애란 소설 원작)	시나리오	영화 『두근두근 내 인생』(영화사 집)	학습활동 제재
창비(이도영 외)	마음을 여는 대화	국립 국어원	시나리오	「공감적 경청」,『청소년의 건전한 대화 문화 확립을 위한 지도 자료 개발』(국립국어원)	바탕글
창비(이도영 외)	마음의 고향	이시영	현대시	『무늬』(문학과 지성사)	학습활동 제재
창비(이도영 외)	말로 때리면 더 아프고 오래간다	국립국어원	시나리오	『청소년의 건전한 대화 문화 확립을 위한 지도자료 개발』	바탕글
창비(이도영 외)	말을 짓기로 해야 한다	이태준	현대수필	『문장 강화』(창비)	학습활동 제재
창비(이도영 외)	말의 힘	황인숙	현대시	『나의 침울한, 소중한 이여』(문학과지성사)	학습활동 제재
창비(이도영 외)	말하기 불안, 어떻게 극복할까?	작자미상	기타	발표지미상	바탕글
창비(이도영 외)	맛있고 재미있는 한식 이야기	한식재단	기타	『맛있고 재미있는 한식 이야기』(한국외식정보)	바탕글
창비(이도영 외)	먹어서 죽는다	법정	현대수필	『새들이 떠나간 숲은 적막하다』(샘터사)	바탕글
창비(이도영 외)	메아리	최승호	현대시	『말놀이 동시집4』(비룡소)	학습활동 제재
창비(이도영 외)	문학 작품 속 세계의 의적들	권순긍	현대수필	『의적, 도둑인가 영웅인가?』(휴머니스트)	추가 읽기 자료
창비(이도영 외)	붕어빵에도 족보가 있다	윤덕노	기타	『붕어빵에도 족보가 있다』(청보리)	바탕글
창비(이도영 외)	빅 데이터를 해석하다	송길영	기타	『빅 데이터, 사람 마음을 이해하는 일』(평생교육진흥원)	추가 읽기 자료
창비(이도영 외)	사랑손님과 어머니	주요섭	현대소설	《조광(朝光)》	바탕글
창비(이도영 외)	상어 비늘의 비밀	김은기	현대수필	『자연에서 발견한 위대한 아이디어30』(지식프레임)	바탕글
창비(이도영 외)	새로운 공간 만들기' 발표 대회	저자미상	만화	발표지미상	바탕글
창비(이도영 외)	새로운 길	윤동주	현대시	『하늘과 바람과 별과 시』(정음사)	바탕글
창비(이도영 외)	생활 속에서 책 읽기	저자미상	만화	발표지미상	바탕글
창비(이도영 외)	세상에 없는 새로운 물고기를 만들어 볼까?	스테판 머마우·웬디 리 올드필드	현대수필	『두뇌 비타민』(한겨레출판)	추가 읽기 자료
창비(이도영 외)	세상의 모든 어른들께	세번 컬리스 스즈키	기타	『중딩 고딩들을 위한 대중 매체 읽고 쓰고 생각하기』(세종서적)	바탕글
창비(이도영 외)	소나기	황순원	현대소설	≪신문학 新文學≫	학습활동 제재
창비(이도영 외)	소리의 차이는 곧 느낌의 차이	국립국어원	기타	『우리말의 이모저모』(휴먼컬처아리랑)	추가 읽기 자료
창비(이도영 외)	솟은 땅 너른 땅의 푸나무	유기억	기타	『솟은 땅 너른 땅의 푸나무』(지성사)	추가 읽기 자료
창비(이도영 외)	쇼펜하우어 이기는 대화법	쇼펜하우어	기타	『쇼펜하우어 이기는 대화법38』(베가북스)	추가 읽기 자료
창비(이도영 외)	숲	강은교	현대시	『빈자 일기』(민음사)	바탕글
창비(이도영 외)	시간은 어떻게 인간을 지배하게 됐을까?	안광복	현대수필	『지리시간에 철학하기』(웅진주니어)	바탕글
창비(이도영 외)	쓰기 윤리를 지키며 보고서 쓰기	작자미상	만화	발표지미상	바탕글
창비(이도영 외)	아름다운 사람	나태주	현대시	『하늘의 서쪽』(토우)	학습활동 제재
창비(이도영 외)	아름다움은 우리 마음속에 있다	저자미상	현대수필	발표지미상	바탕글
창비(이도영 외)	아빠는 슬프다	움터미디어 편집부	기타	『유머는 나의 힘』(움터미디어)	학습활동 제재
창비(이도영 외)	야, 춘기야	김옥	현대소설	『청소녀 백과사전』(낮은산)	바탕글
창비(이도영 외)	어떤 하루를 기억하는 법	홍서현	현대수필	겨레말 큰 사전 남북공동편찬사업회 누리집	추가 읽기 자료
창비(이도영 외)	엄지를 추켜세우면?	볼프강 코른	현대수필	『어떤 게 정상이야?』(웅진주니어)	추가 읽기 자료
창비(이도영 외)	에어컨 만세	이정모	현대수필	『한국일보』	바탕글
창비(이도영 외)	에어컨이 만든 삶	박성호	현대수필	『전원 속의 내 집』(주택문화사)	바탕글
창비(이도영 외)	예상치 못한 문제를 만나다	송단아(학생 글)	현대수필	발표지미상	추가 읽기 자료
창비(이도영 외)	예원의 열 가지 즐거움	김창흡	기타	『책 읽는 소리』(마음산책)	추가 읽기 자료
창비(이도영 외)	오늘부터 우리는	저자미상	만화	발표지미상	바탕글
창비(이도영 외)	요즘 너 말야	제이레빗	현대시(가요)	미러볼뮤직	추가 읽기 자료
창비(이도영 외)	용기 있는 사람만이 꿈을 이룰 수 있다	박예인(학생 글)	현대수필	발표지미상	추가 읽기 자료
창비(이도영 외)	우리는 선처럼 가만히 누워	요조	가요	NHN벅스	학습활동 제재
창비(이도영 외)	우리말을 생각한다(광복 70년, 우리말을 생각한다)	유애리	기타	《새 국어 생활》	추가 읽기 자료
창비(이도영 외)	우울한 양말	전여린(학생 글)	현대수필	발표지미상	바탕글
창비(이도영 외)	울면 안 돼	헤이븐 길레스피	가요	발표지미상	추가 읽기 자료
창비(이도영 외)	이별의 상황과 사랑의 진실	이숭원	현대비평	『교과서 시 정본 해설』(휴먼앤북스)	바탕글
창비(이도영 외)	인사이드 아웃	피트 닥터	시나리오	영화 『인사이드 아웃』(픽사)	학습활동 제재
창비(이도영 외)	자랑스러워	박성우	현대시	『아홉 살 마음 사전』(창비)	학습활동 제재
창비(이도영 외)	자유롭게	김광석	가요	김광석 노래 이야기	학습활동 제재
창비(이도영 외)	자전거 도둑	박완서	현대소설	《달걀은 달걀로 갚으렴》	학습활동 제재
창비(이도영 외)	잘생겨서	신학철(학생 글)	현대수필	발표지미상	바탕글
창비(이도영 외)	재주꾼 세 사람	서정오	현대소설	『옛이야기 들려주기』(보리)	학습활동 제재
창비(이도영 외)	절친	복효근	현대시	『운동장 편지』(창비교육)	바탕글
창비(이도영 외)	정보화 시대, 한글의 가능성	최경봉·시정곤·박영준	기타	『한글에 대해 알아야 할 모든 것』(책과함께)	학습활동 제재
창비(이도영 외)	중 2라도 괜찮아	박수영	시나리오	영화 『중 2라도 괜찮아』(메가폰엔터테인먼트)	학습활동 제재
창비(이도영 외)	지금 몇 시인지 알아?	저자미상	만화	발표지미상	바탕글
창비(이도영 외)	지렁이 울음소리를 들을 수 있는 세상	김선우	현대수필	『부상당한 천사에게』(한겨레출판)	바탕글
창비(이도영 외)	진달래꽃	김소월	현대시	『매문사』	바탕글
창비(이도영 외)	책을 재미있게 읽는 비결	권용선	현대수필	『읽는다는 것』(너머학교)	추가 읽기 자료
창비(이도영 외)	청산별곡	작자미상	고전시가(고려가요)	발표지미상	학습활동 제재
창비(이도영 외)	춘향전	저자미상	고전소설	발표지미상	바탕글
창비(이도영 외)	친구들에게 소개하고 싶은 부분	미나미노 다다하루	현대수필	『팬티 바르게 개는 법』(공명)	추가 읽기 자료
창비(이도영 외)	톰과 제리	MGM	만화	MGM	학습활동 제재
창비(이도영 외)	풀'과 우리 반의 짧은 만남	신현미(학생 글)	현대수필	발표지미상	바탕글
창비(이도영 외)	풀잎에도 상처가 있다	정호승	현대시	『풀잎에도 상처가 있다』(열림원)	학습활동 제재
창비(이도영 외)	프린들 주세요	앤드루 클레먼츠	현대소설	『프린들 주세요』(사계절)	바탕글
창비(이도영 외)	하늘은 맑건만	현덕	현대소설	발표지미상	바탕글
창비(이도영 외)	학급 자치를 활성화해야 한다	저자미상	기타	발표지미상	학습활동 제재
창비(이도영 외)	할머니를 따라간 메주	오승희	현대소설	『할머니를 따라간 메주』(창비아동문고180)	학습활동 제재
창비(이도영 외)	항상 갈망하라. 늘 바보처럼 우직하게.	스티브잡스	기타	『여러분이 사랑하는 것을 찾아야 합니다』	추가 읽기 자료
창비(이도영 외)	혜화동	김창기	가요	다시 가 본 동물원	바탕글
창비(이도영 외)	홍길동전	허균	고전소설	발표지 미상	바탕글
창비(이도영 외)	희망의 이유	제인 구달	현대수필	『희망의 이유』(궁리)	학습활동 제재
